- #{SecureRandom.uuid},#{date},#{workDay},#{totalTime},#{totalPay},#{redDay},#{totalOvertime},#{totalExtraPay},#{startHours},#{startMinutes},#{finishHours},#{finishMinutes},#{fileLength},#{overtimeLimit},#{hourlyPay},#{overtimeMultiplier},#{overtimeLimit},#{redDayMultiplier} -
7fb7b20f-cf44-48cb-ad19-b223d82c770e,2022-11-09,Vardag,3.0,377.4,false,0.5,17.4,15,30,18,30,0,18,120,0.29,18,0.58
58aeb818-dda1-40b9-8c59-16b2ae9ff045,2022-11-14,Vardag,4.833333333333332,643.8,false,1.8333333333333335,63.8,15,0,19,50,1,18,120,0.29,18,0.58
447a942e-24e6-4851-b72e-6b86826df7a6,2022-11-16,Vardag,6.833333333333334,965.0,false,4.166666666666667,145.0,15,20,22,10,2,18,120,0.29,18,0.58
372c9558-4e73-4a4b-bbb9-01f09e241455,2022-11-18,Vardag,2.4999999999999982,300.0,false,0,0,15,20,17,50,3,18,120,0.29,18,0.58
50312d78-6423-4ef8-bbf1-870d3868dcef,2022-11-20,Söndag,1.0,189.6,true,0,69.6,18,45,19,45,4,18,120,0.29,18,0.58
2c048a3c-de3a-448d-adb6-8425124175a7,2022-11-21,Vardag,5.833333333333334,787.0,false,2.5,87.0,14,40,20,30,5,18,120,0.29,18,0.58
38a58bd6-cce9-49b7-8107-c4af12db410c,2022-11-23,Vardag,4.0,532.2,false,1.5,52.2,15,30,19,30,6,18,120,0.29,18,0.58
d63eda93-bd3b-4aec-b0e3-e37f5629b366,2022-11-27,Söndag,5.333333333333332,1011.2,true,0,371.2,15,30,20,50,7,18,120,0.29,18,0.58
050bf389-99b8-48f3-bffc-f58d2c118159,2022-11-28,Vardag,3.333333333333334,400.0,false,0,0,14,25,17,45,8,18,120,0.29,18,0.58
260049ac-f1fe-4e53-88f5-fd84f8b06f3f,2022-11-29,Vardag,3.0,429.6,false,2.0,69.6,17,0,20,0,9,18,120,0.29,18,0.58
1c5a4c86-532e-43c5-82bb-90f7447bd103,2022-11-30,Vardag,4.0,549.6,false,2.0,69.6,16,0,20,0,10,18,120,0.29,18,0.58
4441972f-11ed-447d-a7af-569cf51c3bcc,2023-01-11,Vardag,4.0,532.2,false,1.5,52.2,15,30,19,30,11,18,120,0.29,18,0.58
f562b3c3-beb7-4124-8dcb-ed977a81efcd,2023-01-12,Vardag,2.333333333333332,314.8,false,1.0,34.8,16,40,19,0,12,18,120,0.29,18,0.58
81af7108-3012-4c92-987b-190f1cdf4c8b,2023-01-13,Vardag,2.333333333333332,314.8,false,1.0,34.8,16,40,19,0,13,18,120,0.29,18,0.58
53000402-327b-4efd-9546-460c38c7e329,2023-01-14,Lördag,4.5,540.0,true,0,0,15,0,19,30,14,18,120,0.29,18,0.58
3ec4ac51-9799-48ac-8e07-fa661e97d9d7,2020-01-16,Vardag,4.333333333333334,589.6,false,2.0,69.6,15,40,20,0,15,18,120,0.29,18,0.58
d0f64a5d-f27a-43b7-a431-835d1693e88d,2023-01-17,Vardag,3.0,429.6,false,2.0,69.6,17,0,20,0,16,18,120,0.29,18,0.58
059348a2-588f-4a24-8ca1-6bbc90df4b61,2023-01-31,Vardag,3.0,360.0,false,0.0,0.0,15,0,18,0,17,18,120,0.29,18,0.58
